"ASBR07A","ASBR07B","ASBR07C","ASBR07D","ASBR07E","ASBR07F","ASBR07G","ASBR07H","ASRREA01","ASRREA02","ASRREA03","ASRREA04","ASRREA05"
"3","4","2","4","2","2","2","2",599.26898,630.1825,583.37162,590.24083,578.5884
"2","2","4","2","1","1","3","1",640.23824,622.17326,648.10088,662.32131,731.0978
"1","3","3","2","2","2","1","1",564.57278,552.60501,576.70008,577.50839,580.49679
"3","2","3","2","2","2","2","2",653.11664,713.14165,648.88606,653.15108,680.78443
"1","3","2","3","2","2","4","2",539.80357,590.10426,574.41388,574.89683,553.99256
"3","2","3","3","1","1","2","4",505.83993,459.8007,534.43073,516.68941,459.45963
"1","2","3","3","2","2","2","2",441.40171,469.86121,522.30797,434.07779,483.80161
"1","1","3","2","1","2","2","1",637.60782,523.89958,550.71606,545.46544,521.91404
"2","1","2","2","2","2","2","1",633.33185,651.57207,642.7008,589.15428,622.37174
"3","1","1","1","1","1","1","1",436.65117,434.67346,469.04563,483.8233,447.10535
"3","1","3","2","2","1","1","1",577.53107,551.75041,595.74812,594.11763,543.53847
"4","4","2","4","4","2","4","4",582.91229,514.4123,536.02733,565.4858,521.91404
"4","4","1","4","4","4","4","4",597.4502,598.3501,547.7236,583.95056,581.0164
"2","2","3","3","1","2","2","1",612.00022,537.9931,552.40651,589.39446,585.52767
"2","2","4","2","3","2","1","1",452.48444,504.45674,518.09384,508.6788,473.48557
"1","1","3","3","2","1","1","1",528.87014,474.40953,490.27399,445.3274,532.18587
"1","1","4","1","2","1","2","1",661.98551,651.55851,639.29624,625.96997,616.48246
"4","4","2","4","4","2","2","2",602.27259,603.00152,552.64121,662.45341,611.01442
"2","1","2","3","2","3","2","1",596.12125,537.81627,581.25746,588.02248,574.96681
"3","2","2","3","2","1","1","1",695.48955,589.82237,678.55368,602.94309,656.35003
"2","1","3","4","3","1","2","1",640.55872,589.11071,577.52447,701.37187,589.77842
"3","3","2","3","3","2","2","2",531.31961,545.68759,527.63263,539.97289,542.87485
"1","1","3","2","2","1","1","1",519.47135,525.53772,480.48456,489.9944,523.53165
"1","3","2","3","3","1","1","1",608.34923,582.97313,586.78534,627.05969,671.35458
"3","2","2","2","3","2","2","2",593.05179,576.02398,554.87586,550.82395,550.43589
"1","1","4","1","1","1","1","1",574.07151,600.17853,538.25375,637.5587,594.48458
"2","3","2","3","4","2","3","2",621.09411,569.29736,637.65879,603.36391,647.05127
"3","3","2","3","4","2","3","2",525.33436,524.35348,558.09541,492.23861,478.04485
"2","2","4","2","1","1","2","2",585.68102,594.46742,554.80373,591.37766,567.14811
"2","3","3","3","2","3","3","2",685.40175,606.12089,573.58137,622.24939,648.41348
"1","2","3","3","3","2","2","2",504.66395,529.55759,533.4343,552.64898,568.24128
"2","2","4","2","1","1","1","1",636.70836,602.99331,592.13942,613.10297,643.29439
"3","2","4","4","4","2","3","2",642.12215,611.22724,678.26517,665.78376,624.82097
"1","2","4","3","1","2","1","1",438.81027,430.1771,411.48387,401.33249,437.32205
"1","3","2","3","3","2","4","1",608.34923,575.46123,590.90387,592.74318,558.13079
"2","2","3","2","3","2","3","2",527.19039,474.40953,514.69731,501.13952,500.73876
"2","3","3","2","2","2","1","2",525.74634,522.61788,534.56881,556.67717,520.6986
"2","3","4","3","3","1","1","2",518.0791,494.63098,501.19876,494.09392,517.75981
"2","2","4","4","4","1","4","2",535.31153,550.03063,545.9423,515.69863,502.0222
"2","1","4","2","1","2","1","1",656.82544,621.77153,677.63196,648.09434,617.02812
"1","2","4","2","1","1","1","1",580.44777,608.43916,593.32322,609.9078,597.88134
"3","4","4","4","3","3","3","3",605.43273,667.15822,619.53967,624.55026,570.68918
"2","2","3","2","2","2","2","2",671.29119,589.72234,612.1914,682.70235,648.3661
"3","1","3","2","1","1","1","1",535.94161,568.75607,564.54429,624.47092,580.78983
"4","4","3","4","2","1","4","4",514.19169,546.51467,558.38444,495.04868,513.07724
"2","2","3","2","2","1","1","2",613.8769,614.42496,627.98768,681.12899,603.85575
"2","3","2","3","3","2","3","3",543.44723,554.1228,605.43754,564.47963,598.45695
"3","3","2","3","4","2","3","2",619.64761,569.29736,610.02188,603.36391,630.0055
"3","3","2","3","3","2","2","2",590.40937,524.13618,544.73587,533.72563,511.13172
"2","3","2","4","3","4","3","2",477.16693,468.39939,438.46194,475.50343,433.74518
"1","1","1","1","3","1","1","1",515.6164,549.08577,594.66135,588.54481,567.33078
"3","2","2","4","3","3","3","4",553.81918,544.75536,595.74812,562.11327,528.94019
"2","2","4","3","2","2","2","1",612.77949,658.53796,603.62609,665.26225,619.00441
"3","3","3","3","3","3","3","4",513.8361,555.31464,518.03231,561.26352,547.7048
"3","4","3","3","3","2","3","2",513.8361,541.76169,527.63263,492.57342,502.13369
"1","1","4","2","1","1","1","1",597.78747,617.92223,576.93622,633.54282,603.34742
"2","3","3","3","3","2","2","2",609.70555,582.97313,586.78534,606.41775,573.81609
"3","2","3","3","3","2","1","2",523.83596,513.1574,534.56881,512.4737,561.61166
"2","1","3","4","2","2","3","3",607.05183,600.9825,550.16908,608.92,579.06729
"2","2","4","1","2","1","1","1",570.9646,560.98918,507.48177,563.5181,529.02563
"1","2","3","2","2","1","1","2",491.3926,525.79332,489.19957,512.86701,498.63067
"1","1","4","2","1","1","1","1",606.24325,627.55174,550.19275,569.83444,600.20995
"3","4","3","3","3","2","3","2",568.69731,598.61545,604.80608,595.13365,625.31053
"2","3","3","3","2","3","3","4",550.17949,514.83077,516.85191,549.65426,535.30006
"1","3","4","1","1","1","1","1",576.67995,643.20115,580.84537,626.00343,573.565
"4","2","4","2","2","1","2","1",539.56776,559.66857,546.13996,573.93632,553.22648
"3","4","1","2","3","3","3","2",472.3308,492.90658,490.07438,497.01956,498.32881
"2","1","4","1","1","3","3","1",610.73427,631.49572,576.93622,610.96211,595.39672
"2","2","3","2","2","1","3","4",598.14317,551.21755,633.71105,542.12473,645.36299
"3","4","1","4","4","4","2","3",465.15909,485.82701,438.46194,481.99559,497.24979
"3","4","1","4","4","4","4","4",579.79948,580.22027,558.80806,528.99846,613.03851
"1","1","2","3","1","1","1","1",519.1356,530.76514,503.20344,542.26422,530.74047
"2","3","3","3","2","3","3","3",550.17949,524.07159,549.45849,549.65426,505.92442
"4","4","2","4","3","2","4","4",613.48192,575.46123,560.09166,563.85979,558.71789
"1","3","3","3","2","1","1","1",465.49555,497.70948,473.13361,512.41047,435.60742
"3","3","2","3","3","2","1","1",544.19943,506.1299,540.10543,508.55892,510.36666
"3","4","1","4","4","4","2","2",571.36915,595.65444,650.24395,545.1137,632.02405
"1","2","4","3","2","2","2","1",575.74659,565.55578,561.97205,539.35048,543.476
"3","3","1","4","4","1","4","2",517.64005,555.28291,536.27078,481.07143,516.91126
"1","2","2","2","3","3","3","3",626.39717,592.31634,607.94414,624.55026,610.47307
"3","2","3","3","2","1","2","2",612.94141,626.71686,547.7236,573.44489,591.14289
"1","1","4","1","2","1","1","1",584.44886,532.69718,547.44208,582.23207,521.91404
"2","2","3","2","2","1","2","2",545.43058,572.91529,596.85948,589.49535,572.55716
"2","2","3","1","2","2","1","2",452.17098,447.74828,406.51759,444.23542,415.99385
"2","2","3","3","3","3","3","3",495.05763,511.46966,519.49865,543.75516,507.14109
"1","2","3","3","2","2","2","2",534.1496,522.3936,528.63708,558.85457,533.37587
"2","1","4","1","1","1","3","1",577.11329,590.34661,563.02095,607.16496,573.81609
"1","2","3","1","1","2","2","1",632.3302,617.80382,602.5811,628.3315,614.63058
"1","2","2","1","2","1","1","1",540.0523,565.40873,512.31007,532.08104,483.52416
"2","2","3","1","1","1","2","1",612.00022,560.10511,581.03933,588.88804,555.89008
"1","1","1","4","4","2","1","1",480.39414,468.39939,495.70679,432.34093,524.16767
"3","2","3","3","4","1","1","1",648.58776,539.84669,600.41663,542.68545,629.65718
"2","2","3","3","2","2","1","1",614.54423,619.42348,671.05734,648.94943,626.0721
"1","2","3","3","3","2","1","1",463.27416,513.14898,543.0517,505.00307,487.77553
"2","1","3","2","1","1","1","1",615.58668,570.2414,652.09254,534.68233,552.1574
"2","3","3","4","3","2","2","2",642.12215,625.7037,566.25182,624.09023,590.19229
"2","1","4","1","1","1","1","1",557.02593,561.16951,606.97138,570.58699,580.20344
"2","2","4","1","1","1","1","1",565.36843,569.08674,528.9116,565.92192,517.76658
"2","1","4","1","1","1","1","2",570.24497,565.56564,597.29884,519.34644,592.92277
"1","2","4","2","1","1","1","1",572.54126,627.0923,621.14184,572.98629,550.32943
"1","2","2","2","2","1","1","1",536.97002,558.21548,531.51626,491.4371,517.51282
"3","4","1","2","4","2","4","4",512.68759,550.50784,548.60417,560.88437,583.28563
"2","2","3","2","3","2","2","1",452.48444,487.83114,445.04469,443.40814,415.99385
"1","4","3","3","2","1","2","1",613.9225,587.58718,631.53001,600.75194,623.16131
